,Record ID,Store Name,Store Type,Street Number,Street Name,Additional Address,City,State,Zip Code,Zip4,County,Latitude,Longitude,Authorization Date,End Date,enter,exit,enter_exit
582568,1072993,Bodega  ,Medium Grocery Store,56,Clinton St, ,Binghamton,NY,13905,2396,BROOME,42.10485,-75.92016,2012-10-17,,0,0,0
582571,336937,BREAD N/BUTTER COUNTRY STORE  ,Convenience Store,3518,ROUTE 79, ,HARPURSVILLE,NY,13787, ,BROOME,42.17897,-75.62543,1993-05-06,2017-05-02,0,1,0
582573,1247466,Broome County Regional Farmers Market  ,Farmers' Market,840,Front St,,Binghamton,NY,13905,1500,BROOME,42.12917,-75.90607,2016-06-20,2020-11-23,0,1,0
582574,1247466,Broome County Regional Farmers Market  ,Farmers' Market,840,Front St,,Binghamton,NY,13905,1500,BROOME,42.12917,-75.90607,2021-01-26,,1,0,0
582577,303653,BUTCHER BOYS  ,Combination Grocery/Other,935,Taft Ave, ,Endicott,NY,13760,7205,BROOME,42.12371,-76.03939,1973-01-09,,0,0,0
582578,1464046,C Town Food Mart Inc  ,Convenience Store,308,Chenango St,,Binghamton,NY,13901,2314,BROOME,42.10733,-75.90395,2021-08-31,,0,0,0
582580,1280922,Cass Rogalski LLC - Crossroads Corner Store N Deli  ,Medium Grocery Store,3518,State Route 79, ,Harpursville,NY,13787,1908,BROOME,42.17896,-75.62543,2017-05-15,,1,0,0
582582,640067,CAVANAUGH'S GROCERY  ,Convenience Store,69,Leroy St, ,Binghamton,NY,13905,4422,BROOME,42.09566,-75.9267,2012-10-10,,0,0,0
582585,1149394,Chow Food Bus  ,Delivery Route,3,Otseningo St, ,Binghamton,NY,13903,2117,BROOME,42.09962,-75.89718,2014-07-01,,0,0,0
582587,1423915,Cj Deli & Convenience Corp  ,Convenience Store,205,Main St,,Johnson City,NY,13790,2432,BROOME,42.11475,-75.95372,2020-09-28,,1,0,0
582590,1166547,Clinton St Xpress Mart  ,Convenience Store,338,Clinton St, ,Binghamton,NY,13905,2047,BROOME,42.11021,-75.93675,2014-09-11,2017-11-14,0,1,0
582591,1166547,Clinton St Xpress Mart  ,Convenience Store,338,Clinton St, ,Binghamton,NY,13905,2047,BROOME,42.11021,-75.93675,2017-11-22,2018-04-02,1,1,1
582592,1166547,Clinton St Xpress Mart  ,Convenience Store,338,Clinton St, ,Binghamton,NY,13905,2047,BROOME,42.11021,-75.93675,2019-05-14,,1,0,0
582593,1136700,Conklin Ave Deli & Grocery  ,Convenience Store,293,Conklin Ave, ,Binghamton,NY,13903,2450,BROOME,42.0963,-75.88901,2014-05-08,2021-10-17,0,0,0
582595,966222,Conklin Mart  ,Convenience Store,1552,Conklin Rd, ,Conklin,NY,13748,1745,BROOME,42.02238,-75.79715,2010-09-07,2021-02-19,0,1,0
582596,460171,CONKLIN RELIABLE MARKET  ,Medium Grocery Store,1109,Conklin Rd,,Conklin,NY,13748,1110,BROOME,42.07087,-75.8146,1970-09-10,,0,0,0
582598,663822,COUNTRY STORE 10,Convenience Store,112,2nd St, ,Deposit,NY,13754, ,BROOME,42.06218,-75.42417,1994-05-10,,0,0,0
582603,1130696,Court Street Convenience LLC  ,Convenience Store,69,Court St, ,Binghamton,NY,13901,3304,BROOME,42.09872,-75.91204,2014-03-04,2021-07-21,0,0,0
582604,982672,Court Street Fuel Stop Inc  ,Convenience Store,210,Court St,Ste 1,Binghamton,NY,13901,3638,BROOME,42.10084,-75.90334,2010-12-10,,0,0,0
582605,486667,CVS PHARMACY  561,Combination Grocery/Other,3438,Court St, ,Binghamton,NY,13904,1537,BROOME,42.10352,-75.86974,2000-09-08,,0,0,0
582606,365635,CVS PHARMACY  622,Combination Grocery/Other,68,Main St, ,Binghamton,NY,13905,2915,BROOME,42.09964,-75.92188,2000-09-11,2019-03-17,0,1,0
582607,379764,CVS PHARMACY  566,Combination Grocery/Other,34,W State St, ,Binghamton,NY,13901,2311,BROOME,42.10975,-75.90449,2000-09-11,,0,0,0
582608,436891,CVS PHARMACY  562,Combination Grocery/Other,345,Main St, ,Johnson City,NY,13790,2050,BROOME,42.11579,-75.96124,2000-09-11,,0,0,0
582609,262092,CVS PHARMACY  625,Combination Grocery/Other,249,Main St, ,Binghamton,NY,13905,2522,BROOME,42.10716,-75.93745,2000-09-12,,0,0,0
582610,478861,CVS PHARMACY  2180,Combination Grocery/Other,163,Robinson St, ,Binghamton,NY,13904, ,BROOME,42.10756,-75.88921,2000-09-14,,0,0,0
582611,682367,CVS PHARMACY 2414,Combination Grocery/Other,269,Harry L Dr,,Johnson City,NY,13790,1422,BROOME,42.12283,-75.95792,2000-09-26,,0,0,0
582612,601957,CVS PHARMACY  754,Combination Grocery/Other,37,Riverside Dr, ,Johnson City,NY,13790,2734,BROOME,42.09853,-75.95023,2000-10-12,,0,0,0
582613,690822,CVS PHARMACY  565,Combination Grocery/Other,138,Vestal Pkwy W, ,Vestal,NY,13850,1542,BROOME,42.0858,-76.05555,2000-12-06,,0,0,0
582614,388141,CVS PHARMACY 458,Combination Grocery/Other,50,Pennsylvania Ave, ,Binghamton,NY,13903,1667,BROOME,42.087,-75.91651,2000-12-19,,0,0,0
582615,235821,CVS Pharmacy CVS00678,Combination Grocery/Other,1010,Union Center Maine Hwy,,Endicott,NY,13760,2037,BROOME,42.10966,-76.07098,2000-12-21,2020-06-09,0,1,0
582616,283265,CVS PHARMACY  781,Combination Grocery/Other,1276,Upper Front St, ,Binghamton,NY,13901,1011,BROOME,42.15836,-75.8957,2001-02-09,,0,0,0
582617,528604,CVS PHARMACY  1951,Combination Grocery/Other,1103,North St, ,Endicott,NY,13760,5246,BROOME,42.1044,-76.05025,2001-02-21,,0,0,0
582618,905091,CVS Pharmacy 168,Combination Grocery/Other,800,Hooper Rd,Ste 500,Endicott,NY,13760,1560,BROOME,42.12831,-76.02899,2009-06-27,,0,0,0
582619,926338,CVS Pharmacy 239,Combination Grocery/Other,9,Oakdale Mall, ,Johnson City,NY,13790,1294,BROOME,42.12525,-75.97289,2009-11-19,2017-06-22,0,1,0
582620,235821,CVS Pharmacy CVS00678,Combination Grocery/Other,1010,Union Center Maine Hwy,,Endicott,NY,13760,2037,BROOME,42.10966,-76.07098,2021-11-29,,0,0,0
582623,1022362,Dandy Mini Mart 42,Convenience Store,51,Commercial Dr, ,Johnson City,NY,13790,4111,BROOME,42.1936,-75.98915,2011-12-20,2019-02-18,0,1,0
582625,1179415,Darlings Meats & Provisions  ,Small Grocery Store,3300,NY Rte 79, ,Harpursville,NY,13787, ,BROOME,42.16734,-75.61318,2015-03-09,2017-07-02,0,1,0
582638,292456,DEPOSIT BIG M  ,Supermarket,156,Front St,,Deposit,NY,13754,1126,BROOME,42.06059,-75.42514,1984-04-17,,0,0,0
582640,673671,DIRIENZO BROS BAKERY  ,Convenience Store,152,Henry St, ,Binghamton,NY,13901,3001,BROOME,42.10249,-75.90364,1994-03-01,2021-06-08,0,1,0
582642,557201,DNISTER  ,Small Grocery Store,9,Glenwood Ave, ,Binghamton,NY,13905,2503,BROOME,42.10825,-75.93743,2004-03-25,,0,0,0
582648,654401,Dollar General 8494,Combination Grocery/Other,3226,Watson Blvd,,Endicott,NY,13760,3534,BROOME,42.11043,-76.02057,2004-07-29,,0,0,0
582649,352386,Dollar General 9335,Combination Grocery/Other,222,Main St, ,Johnson City,NY,13790,2404,BROOME,42.11477,-75.95431,2004-07-29,,0,0,0
582650,709169,Dollar General 9622,Combination Grocery/Other,325,Clinton St, ,Binghamton,NY,13905,2017,BROOME,42.11029,-75.93707,2004-09-30,,0,0,0
